,no,title,content,writer,hit,create_at
0,1,제목1,내용,작성자,101,2026-04-27 10:31:56
1,2,변경1,변경2,변경3,103,2026-04-27 10:36:56
2,3,제목3,내용3,작성자3,103,2026-04-27 10:37:00
3,4,첫 번째 게시글입니다.,게시글 내용 1입니다.,user01,10,2026-04-28 10:20:05
4,5,제목변경,변경내용,변경자,19,2026-04-28 10:20:05
5,6,세 번째 게시글입니다.,게시글 내용 3입니다.,admin,20,2026-04-28 10:20:05
6,7,질문 있습니다!,이것저것 궁금한 게 많아요.,user03,15,2026-04-28 10:20:05
7,8,공지사항 확인 바랍니다.,필독 공지사항입니다.,admin,100,2026-04-28 10:20:05
8,9,오늘의 날씨,맑고 화창한 날씨네요.,user04,8,2026-04-28 10:20:05
9,10,점심 메뉴 추천,돈까스가 먹고 싶네요.,user05,12,2026-04-28 10:20:05
10,11,자바 공부 중,생각보다 어렵지만 재밌어요.,user01,25,2026-04-28 10:20:05
11,12,SQL 기초 강의,테이블 생성하는 법 공부 중.,user02,30,2026-04-28 10:20:05
12,13,Spring Boot 최고,백엔드 개발 너무 즐겁네요.,user06,45,2026-04-28 10:20:05
13,14,데이터베이스 설계,정규화가 정말 중요하네요.,user07,18,2026-04-28 10:20:05
14,15,여행 가고 싶다,제주도 여행 계획 중입니다.,user08,7,2026-04-28 10:20:05
15,16,운동 인증 1일차,오늘부터 오운완 시작!,user09,11,2026-04-28 10:20:05
16,17,맛집 탐방기,강남역 근처 파스타 맛집.,user10,33,2026-04-28 10:20:05
17,18,도서 추천,클린 코드 꼭 읽어보세요.,user03,22,2026-04-28 10:20:05
18,19,프로그래밍 명언,코드는 사람이 읽기 위해 작성됨.,admin,50,2026-04-28 10:20:05
19,20,감기 조심하세요,요즘 독감이 유행이네요.,user04,4,2026-04-28 10:20:05
20,21,최신 기술 트렌드,AI 기술이 정말 빠르네요.,user05,60,2026-04-28 10:20:05
21,22,퇴근하고 싶다,월요일 아침부터 퇴근 생각.,user01,9,2026-04-28 10:20:05
22,23,마지막 샘플 글,20번째 게시글입니다.,user02,2,2026-04-28 10:20:05
23,24,제목,내용,글쓴이,1,2026-04-28 15:08:23
24,25,제목,내용,글쓴이,1,2026-04-28 15:13:28
25,27,제목11,내용11,글쓴이11,1,2026-04-28 16:15:48
